Operation,Type,Entities Covered Count,Dependencies,Requires
"DescribeImages","INDEPENDENT","37","None","None"
"DescribeInstanceTypes","INDEPENDENT","30","None","None"
"DescribeNetworkInterfaces","INDEPENDENT","29","None","None"
"DescribeCapacityReservations","INDEPENDENT","25","None","None"
"DescribeClientVpnEndpoints","INDEPENDENT","24","None","None"
"DescribeVpcEndpoints","INDEPENDENT","18","None","None"
"DescribeIpamPools","INDEPENDENT","20","None","None"
"DescribeSnapshots","INDEPENDENT","17","None","None"
"DescribeVolumes","INDEPENDENT","11","None","None"
"DescribeFleets","INDEPENDENT","19","None","None"
"DescribeVerifiedAccessEndpoints","INDEPENDENT","15","None","None"
"DescribeSubnets","INDEPENDENT","14","None","None"
"DescribeHosts","INDEPENDENT","13","None","None"
"DescribeReservedInstances","INDEPENDENT","15","None","None"
"DescribeVpcEndpointServiceConfigurations","INDEPENDENT","15","None","None"
"DescribeImportImageTasks","INDEPENDENT","6","None","None"
"DescribeSpotInstanceRequests","INDEPENDENT","12","None","None"
"DescribeVolumesModifications","INDEPENDENT","13","None","None"
"DescribeIpams","INDEPENDENT","12","None","None"
"DescribeReservedInstancesOfferings","INDEPENDENT","4","None","None"
"DescribeNetworkInsightsAnalyses","INDEPENDENT","13","None","None"
"DescribeNatGateways","INDEPENDENT","13","None","None"
"DescribeScheduledInstances","INDEPENDENT","11","None","None"
"DescribeFlowLogs","INDEPENDENT","14","None","None"
"DescribeInstanceConnectEndpoints","INDEPENDENT","7","None","None"
"DescribeFpgaImages","INDEPENDENT","7","None","None"
"ListVolumesInRecycleBin","INDEPENDENT","2","None","None"
"DescribeNetworkInsightsPaths","INDEPENDENT","13","None","None"
"DescribeVerifiedAccessTrustProviders","INDEPENDENT","9","None","None"
"DescribeVpnConnections","INDEPENDENT","14","None","None"
"DescribeAddresses","INDEPENDENT","10","None","None"
"DescribeHostReservations","INDEPENDENT","7","None","None"
"DescribeCapacityBlockExtensionHistory","INDEPENDENT","7","None","None"
"DescribeLocalGatewayVirtualInterfaces","INDEPENDENT","12","None","None"
"DescribeSecurityGroupRules","INDEPENDENT","11","None","None"
"DescribeVpcEndpointConnections","INDEPENDENT","5","None","None"
"DescribeRouteServerPeers","INDEPENDENT","8","None","None"
"DescribeVpcEndpointAssociations","INDEPENDENT","7","None","None"
"DescribeTrafficMirrorFilterRules","INDEPENDENT","9","None","None"
"DescribeServiceLinkVirtualInterfaces","INDEPENDENT","4","None","None"
"DescribeVpcs","INDEPENDENT","5","None","None"
"DescribeCapacityReservationFleets","INDEPENDENT","5","None","None"
