csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,apm_traces,ocid,item.ocid,string,Yes,oci.apm_traces.get_trace,read_get,No,oci.apm_traces.get_trace,oci.apm_traces.get_trace,1,0,oci.apm_traces.get_trace[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,"ApmTracesClient().get_trace(compartment_id=compartment_id, trace_id=trace_id).data",/20160918/traces/{TraceId}
oci,apm_traces,compartment_id,item.compartment_id,string,Yes,oci.apm_traces.get_trace,read_get,No,oci.apm_traces.get_trace,oci.apm_traces.get_trace,1,0,oci.apm_traces.get_trace[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,"ApmTracesClient().get_trace(compartment_id=compartment_id, trace_id=trace_id).data",/20160918/traces/{TraceId}
oci,apm_traces,aggregated_snapshot.name,item.aggregated_snapshot.name,string,No,oci.apm_traces.get_aggregated_snapshot,read_get,No,oci.apm_traces.get_aggregated_snapshot,oci.apm_traces.get_aggregated_snapshot,1,0,oci.apm_traces.get_aggregated_snapshot[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"ApmTracesClient().get_aggregated_snapshot(compartment_id=compartment_id, aggregated_snapshot_id=aggregated_snapshot_id).data",/20160918/aggregatedSnapshots/{AggregatedSnapshotId}
oci,apm_traces,aggregated_snapshot.status,item.aggregated_snapshot.status,string,No,oci.apm_traces.get_aggregated_snapshot,read_get,No,oci.apm_traces.get_aggregated_snapshot,oci.apm_traces.get_aggregated_snapshot,1,0,oci.apm_traces.get_aggregated_snapshot[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"ApmTracesClient().get_aggregated_snapshot(compartment_id=compartment_id, aggregated_snapshot_id=aggregated_snapshot_id).data",/20160918/aggregatedSnapshots/{AggregatedSnapshotId}
oci,apm_traces,aggregated_snapshot.time_created,item.aggregated_snapshot.time_created,string,No,oci.apm_traces.get_aggregated_snapshot,read_get,No,oci.apm_traces.get_aggregated_snapshot,oci.apm_traces.get_aggregated_snapshot,1,0,oci.apm_traces.get_aggregated_snapshot[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"ApmTracesClient().get_aggregated_snapshot(compartment_id=compartment_id, aggregated_snapshot_id=aggregated_snapshot_id).data",/20160918/aggregatedSnapshots/{AggregatedSnapshotId}
oci,apm_traces,aggregated_snapshot.freeform_tags,item.aggregated_snapshot.freeform_tags,object,No,oci.apm_traces.get_aggregated_snapshot,read_get,No,oci.apm_traces.get_aggregated_snapshot,oci.apm_traces.get_aggregated_snapshot,1,0,oci.apm_traces.get_aggregated_snapshot[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","ApmTracesClient().get_aggregated_snapshot(compartment_id=compartment_id, aggregated_snapshot_id=aggregated_snapshot_id).data",/20160918/aggregatedSnapshots/{AggregatedSnapshotId}
oci,apm_traces,aggregated_snapshot.defined_tags,item.aggregated_snapshot.defined_tags,object,No,oci.apm_traces.get_aggregated_snapshot,read_get,No,oci.apm_traces.get_aggregated_snapshot,oci.apm_traces.get_aggregated_snapshot,1,0,oci.apm_traces.get_aggregated_snapshot[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","ApmTracesClient().get_aggregated_snapshot(compartment_id=compartment_id, aggregated_snapshot_id=aggregated_snapshot_id).data",/20160918/aggregatedSnapshots/{AggregatedSnapshotId}
oci,apm_traces,log.name,item.log.name,string,No,oci.apm_traces.get_log,read_get,No,oci.apm_traces.get_log,oci.apm_traces.get_log,1,0,oci.apm_traces.get_log[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"ApmTracesClient().get_log(compartment_id=compartment_id, log_id=log_id).data",/20160918/logs/{LogId}
oci,apm_traces,log.status,item.log.status,string,No,oci.apm_traces.get_log,read_get,No,oci.apm_traces.get_log,oci.apm_traces.get_log,1,0,oci.apm_traces.get_log[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"ApmTracesClient().get_log(compartment_id=compartment_id, log_id=log_id).data",/20160918/logs/{LogId}
oci,apm_traces,log.time_created,item.log.time_created,string,No,oci.apm_traces.get_log,read_get,No,oci.apm_traces.get_log,oci.apm_traces.get_log,1,0,oci.apm_traces.get_log[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"ApmTracesClient().get_log(compartment_id=compartment_id, log_id=log_id).data",/20160918/logs/{LogId}
oci,apm_traces,log.freeform_tags,item.log.freeform_tags,object,No,oci.apm_traces.get_log,read_get,No,oci.apm_traces.get_log,oci.apm_traces.get_log,1,0,oci.apm_traces.get_log[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","ApmTracesClient().get_log(compartment_id=compartment_id, log_id=log_id).data",/20160918/logs/{LogId}
oci,apm_traces,log.defined_tags,item.log.defined_tags,object,No,oci.apm_traces.get_log,read_get,No,oci.apm_traces.get_log,oci.apm_traces.get_log,1,0,oci.apm_traces.get_log[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","ApmTracesClient().get_log(compartment_id=compartment_id, log_id=log_id).data",/20160918/logs/{LogId}
