csp,service,op_name,op_kind,is_independent,python_call,yaml_action,required_params,optional_params,param_count,output_fields,output_fields_types,compliance_categories,resource_type,target_resource_id_param,iam_action,ciem_rule_count,ciem_rule_yaml,is_active,updated_at
ibm,account,ibm.account.update_account,write_update,Yes,client.update_account(),update-account,,,0,,,,,,account:update_account,0,,true,2026-04-17T14:43:55Z
ibm,analytics_engine,ibm.analytics_engine.submit_job,write_other,Yes,client.submit_job(),submit-job,,,0,,,,,,analytics_engine:submit_job,0,,true,2026-04-17T14:43:55Z
ibm,api_gateway,ibm.api_gateway.deploy_api,write_other,Yes,client.deploy_api(),deploy-api,,,0,,,,,,api_gateway:deploy_api,0,,true,2026-04-17T14:43:55Z
ibm,backup,ibm.backup.create_backup,write_create,Yes,client.create_backup(),create-backup,,,0,,,,,,backup:create_backup,0,,true,2026-04-17T14:43:55Z
ibm,block_storage,ibm.block_storage.create_volume,write_create,Yes,client.create_volume(),create-volume,,,0,,,,,,block_storage:create_volume,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.acquire,write_other,Yes,client.acquire(),acquire,,,0,,,,,,botocore:acquire,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.close,write_other,Yes,client.close(),close,,,0,,,,,,botocore:close,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.createLock,write_create,Yes,client.createLock(),createLock,,,0,,,,,,botocore:createLock,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.flush,write_other,Yes,client.flush(),flush,,,0,,,,,,botocore:flush,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.release,write_other,Yes,client.release(),release,,,0,,,,,,botocore:release,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.addFilter,write_create,No,client.addFilter(),addFilter,filter,,1,,,,,filter,botocore:addFilter,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.emit,write_other,No,client.emit(),emit,record,,1,,,,,record,botocore:emit,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.filter,write_other,No,client.filter(),filter,record,,1,,,,,record,botocore:filter,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.format,write_other,No,client.format(),format,record,,1,,,,,record,botocore:format,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.handle,write_other,No,client.handle(),handle,record,,1,,,,,record,botocore:handle,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.handleError,write_other,No,client.handleError(),handleError,record,,1,,,,,record,botocore:handleError,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.removeFilter,write_delete,No,client.removeFilter(),removeFilter,filter,,1,,,,,filter,botocore:removeFilter,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.setFormatter,write_update,No,client.setFormatter(),setFormatter,fmt,,1,,,,,fmt,botocore:setFormatter,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.setLevel,write_update,No,client.setLevel(),setLevel,level,,1,,,,,level,botocore:setLevel,0,,true,2026-04-17T14:43:55Z
ibm,botocore,ibm.botocore.set_name,write_update,No,client.set_name(),set-name,name,,1,,,,,name,botocore:set_name,0,,true,2026-04-17T14:43:55Z
ibm,case_management,ibm.case_management.enable_retries,write_other,Yes,client.enable_retries(),enable-retries,,max_retries|retry_interval,2,,,,,max_retries,case_management:enable_retries,0,,true,2026-04-17T14:43:55Z
ibm,case_management,ibm.case_management.set_disable_ssl_verification,write_update,Yes,client.set_disable_ssl_verification(),set-disable-ssl-verification,,status,1,,,,,status,case_management:set_disable_ssl_verification,0,,true,2026-04-17T14:43:55Z
ibm,case_management,ibm.case_management.add_comment,write_create,No,client.add_comment(),add-comment,case_number|comment,,2,,,,,case_number,case_management:add_comment,0,,true,2026-04-17T14:43:55Z
ibm,case_management,ibm.case_management.add_resource,write_create,No,client.add_resource(),add-resource,case_number,crn|type|id|note,5,,,,,case_number,case_management:add_resource,0,,true,2026-04-17T14:43:55Z
ibm,case_management,ibm.case_management.add_watchlist,write_create,No,client.add_watchlist(),add-watchlist,case_number,watchlist,2,items|next_token,items:array|next_token:string,general,,case_number,case_management:add_watchlist,0,,true,2026-04-17T14:43:55Z
