csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,capacity_management,internal_occm_demand_signal_delivery.freeform_tags,item.internal_occm_demand_signal_delivery.freeform_tags,object,No,oci.capacity_management.list_internal_occm_demand_signal_deliveries,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_deliveries,oci.capacity_management.list_internal_occm_demand_signal_deliveries,1,0,oci.capacity_management.list_internal_occm_demand_signal_deliveries[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CapacityManagementClient().list_internal_occm_demand_signal_deliveries(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalDeliveries
oci,capacity_management,internal_occm_demand_signal_delivery.defined_tags,item.internal_occm_demand_signal_delivery.defined_tags,object,No,oci.capacity_management.list_internal_occm_demand_signal_deliveries,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_deliveries,oci.capacity_management.list_internal_occm_demand_signal_deliveries,1,0,oci.capacity_management.list_internal_occm_demand_signal_deliveries[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CapacityManagementClient().list_internal_occm_demand_signal_deliveries(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalDeliveries
oci,capacity_management,internal_occm_demand_signal_catalog_resourc.name,item.internal_occm_demand_signal_catalog_resourc.name,string,No,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,1,0,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CapacityManagementClient().list_internal_occm_demand_signal_catalog_resources(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalCatalogResources
oci,capacity_management,internal_occm_demand_signal_catalog_resourc.status,item.internal_occm_demand_signal_catalog_resourc.status,string,No,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,1,0,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CapacityManagementClient().list_internal_occm_demand_signal_catalog_resources(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalCatalogResources
oci,capacity_management,internal_occm_demand_signal_catalog_resourc.time_created,item.internal_occm_demand_signal_catalog_resourc.time_created,string,No,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,1,0,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,CapacityManagementClient().list_internal_occm_demand_signal_catalog_resources(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalCatalogResources
oci,capacity_management,internal_occm_demand_signal_catalog_resourc.freeform_tags,item.internal_occm_demand_signal_catalog_resourc.freeform_tags,object,No,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,1,0,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CapacityManagementClient().list_internal_occm_demand_signal_catalog_resources(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalCatalogResources
oci,capacity_management,internal_occm_demand_signal_catalog_resourc.defined_tags,item.internal_occm_demand_signal_catalog_resourc.defined_tags,object,No,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,1,0,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CapacityManagementClient().list_internal_occm_demand_signal_catalog_resources(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalCatalogResources
oci,capacity_management,internal_occm_demand_signal_item.name,item.internal_occm_demand_signal_item.name,string,No,oci.capacity_management.list_internal_occm_demand_signal_items,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_items,oci.capacity_management.list_internal_occm_demand_signal_items,1,0,oci.capacity_management.list_internal_occm_demand_signal_items[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CapacityManagementClient().list_internal_occm_demand_signal_items(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalItems
oci,capacity_management,internal_occm_demand_signal_item.status,item.internal_occm_demand_signal_item.status,string,No,oci.capacity_management.list_internal_occm_demand_signal_items,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_items,oci.capacity_management.list_internal_occm_demand_signal_items,1,0,oci.capacity_management.list_internal_occm_demand_signal_items[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CapacityManagementClient().list_internal_occm_demand_signal_items(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalItems
oci,capacity_management,internal_occm_demand_signal_item.time_created,item.internal_occm_demand_signal_item.time_created,string,No,oci.capacity_management.list_internal_occm_demand_signal_items,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_items,oci.capacity_management.list_internal_occm_demand_signal_items,1,0,oci.capacity_management.list_internal_occm_demand_signal_items[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,CapacityManagementClient().list_internal_occm_demand_signal_items(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalItems
oci,capacity_management,internal_occm_demand_signal_item.freeform_tags,item.internal_occm_demand_signal_item.freeform_tags,object,No,oci.capacity_management.list_internal_occm_demand_signal_items,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_items,oci.capacity_management.list_internal_occm_demand_signal_items,1,0,oci.capacity_management.list_internal_occm_demand_signal_items[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CapacityManagementClient().list_internal_occm_demand_signal_items(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalItems
oci,capacity_management,internal_occm_demand_signal_item.defined_tags,item.internal_occm_demand_signal_item.defined_tags,object,No,oci.capacity_management.list_internal_occm_demand_signal_items,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_items,oci.capacity_management.list_internal_occm_demand_signal_items,1,0,oci.capacity_management.list_internal_occm_demand_signal_items[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CapacityManagementClient().list_internal_occm_demand_signal_items(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalItems
