Resource Type,Classification,Should Inventory,Use for Enrichment,Has ARN,Can Get from Root,Requires Dependent,Root Operations,Dependent Operations
"analytics_configuration","CONFIGURATION","No","Yes","No","No","Yes","None","GetBucketAnalyticsConfiguration; GetBucketIntelligentTieringConfiguration; GetBucketInventoryConfiguration; GetBucketMetricsConfiguration; GetBucketNotification; GetBucketNotificationConfiguration; ListBucketAnalyticsConfigurations; ListBucketIntelligentTieringConfigurations; ListBucketInventoryConfigurations; ListBucketMetricsConfigurations"
"bucket","PRIMARY_RESOURCE","Yes","No","No","Yes","No","ListBuckets; ListDirectoryBuckets","ListObjectVersions; ListObjects; ListObjectsV2"
"bucket_bucket","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","ListBuckets; ListDirectoryBuckets","None"
"cors_rul","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetBucketCors; GetBucketLifecycle; GetBucketLifecycleConfiguration"
"topic_configuration_topic","CONFIGURATION","No","Yes","Yes","No","Yes","None","GetBucketNotificationConfiguration"
"upload_upload","EPHEMERAL","No","No","No","No","Yes","None","ListMultipartUploads; ListParts"
"version_version","EPHEMERAL","No","No","No","No","Yes","None","GetObject; GetObjectAttributes; GetObjectTagging; ListObjectVersions"
