Resource Type,Classification,Should Inventory,Use for Enrichment,Has ARN,Can Get from Root,Requires Dependent,Root Operations,Dependent Operations
"access_key_metadata_access_key","SUB_RESOURCE","No","Yes","No","Yes","No","ListAccessKeys","None"
"attached_policy_policy","PRIMARY_RESOURCE","Yes","No","Yes","No","Yes","None","ListAttachedGroupPolicies; ListAttachedRolePolicies; ListAttachedUserPolicies"
"certificat_certificate","SUB_RESOURCE","No","Yes","No","Yes","No","ListSigningCertificates","None"
"delegation_request_approver","SUB_RESOURCE","No","Yes","No","Yes","No","ListDelegationRequests","GetDelegationRequest"
"delegation_request_delegation_request","EPHEMERAL","No","No","No","Yes","No","ListDelegationRequests","GetDelegationRequest"
"delegation_request_owner","SUB_RESOURCE","No","Yes","No","Yes","No","ListDelegationRequests","GetDelegationRequest"
"delegation_request_owner_account","SUB_RESOURCE","No","Yes","No","Yes","No","ListDelegationRequests","GetDelegationRequest"
"delegation_request_requestor","SUB_RESOURCE","No","Yes","No","Yes","No","ListDelegationRequests","GetDelegationRequest"
"delegation_request_role_permission_restrictions","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","ListDelegationRequests","GetDelegationRequest"
"group_group","SUB_RESOURCE","No","Yes","No","Yes","No","ListGroups","GetGroupPolicy; ListEntitiesForPolicy; ListGroupsForUser"
"instance_profil_instance_profile","SUB_RESOURCE","No","Yes","No","Yes","No","ListInstanceProfiles","GetInstanceProfile; ListInstanceProfilesForRole"
"issuerentifier","SUB_RESOURCE","No","Yes","No","Yes","No","GetOutboundWebIdentityFederationInfo","None"
"policy_default_version","EPHEMERAL","No","No","No","Yes","No","ListPolicies","GetPolicy"
"policy_policy","SUB_RESOURCE","No","Yes","No","Yes","No","ListPolicies","GetGroupPolicy; GetPolicy; GetRolePolicy; GetUserPolicy; ListAttachedGroupPolicies; ListAttachedRolePolicies; ListAttachedUserPolicies"
"policy_version_version","EPHEMERAL","No","No","No","No","Yes","None","GetPolicyVersion; ListPolicyVersions"
"private_key_list_key","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetSAMLProvider"
"rol_role","SUB_RESOURCE","No","Yes","No","Yes","No","ListRoles","GetRole; GetRolePolicy"
"role","PRIMARY_RESOURCE","Yes","No","Yes","No","Yes","None","GetRole"
"server_certificate_metadata_list_server_certificate","SUB_RESOURCE","No","Yes","No","Yes","No","ListServerCertificates","None"
"service_specific_credential_service","SUB_RESOURCE","No","Yes","No","Yes","No","ListServiceSpecificCredentials","GetAccessKeyLastUsed; GetOrganizationsAccessReport; GetServiceLastAccessedDetails"
"service_specific_credential_service_specific_credential","SUB_RESOURCE","No","Yes","No","Yes","No","ListServiceSpecificCredentials","None"
"service_specific_credential_service_user","SUB_RESOURCE","No","Yes","No","Yes","No","ListServiceSpecificCredentials","None"
"ssh_public_key_ssh_public_key","SUB_RESOURCE","No","Yes","No","Yes","No","ListSSHPublicKeys","GetSSHPublicKey"
"user_detail_list","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","GetAccountAuthorizationDetails; GetUser; ListGroups; ListInstanceProfiles; ListOpenIDConnectProviders; ListPolicies; ListRoles; ListSAMLProviders; ListServerCertificates; ListUsers","GetGroup; GetInstanceProfile; GetPolicy; GetRole; ListGroupsForUser; ListInstanceProfilesForRole"
"user_detail_list_user","SUB_RESOURCE","No","Yes","No","Yes","No","GetAccountAuthorizationDetails; GetLoginProfile; GetUser; ListAccessKeys; ListMFADevices; ListSSHPublicKeys; ListServiceSpecificCredentials; ListSigningCertificates; ListUsers","GetAccessKeyLastUsed; GetGroup; GetMFADevice; GetSSHPublicKey; GetUserPolicy"
