Operation,Type,Entities Covered Count,Dependencies,Requires
"ListDelegationRequests","INDEPENDENT","20","None","None"
"ListPolicies","INDEPENDENT","12","None","None"
"ListRoles","INDEPENDENT","7","None","None"
"GetAccountAuthorizationDetails","INDEPENDENT","5","None","None"
"ListUsers","INDEPENDENT","2","None","None"
"GetAccountPasswordPolicy","INDEPENDENT","11","None","None"
"ListServiceSpecificCredentials","INDEPENDENT","6","None","None"
"GetUser","INDEPENDENT","1","None","None"
"ListInstanceProfiles","INDEPENDENT","2","None","None"
"ListServerCertificates","INDEPENDENT","4","None","None"
"ListVirtualMFADevices","INDEPENDENT","4","None","None"
"ListGroups","INDEPENDENT","2","None","None"
"ListSigningCertificates","INDEPENDENT","2","None","None"
"ListAccessKeys","INDEPENDENT","1","None","None"
"ListSSHPublicKeys","INDEPENDENT","1","None","None"
"GetLoginProfile","INDEPENDENT","2","None","None"
"ListSAMLProviders","INDEPENDENT","1","None","None"
"GetCredentialReport","INDEPENDENT","1","None","None"
"GetOutboundWebIdentityFederationInfo","INDEPENDENT","1","None","None"
"GetAccountSummary","INDEPENDENT","1","None","None"
"GetOrganizationsAccessReport","DEPENDENT","6","None","None"
"GetServiceLastAccessedDetails","DEPENDENT","4","None","None"
"GetSSHPublicKey","DEPENDENT","3","iam.ssh_public_key_ssh_public_key_id; iam.user_detail_list_user_name","iam.ssh_public_key_ssh_public_key_id; iam.user_detail_list_user_name"
"GetSAMLProvider","DEPENDENT","3","None","None"
"GetHumanReadableSummary","DEPENDENT","3","None","None"
"GetAccessKeyLastUsed","DEPENDENT","2","iam.access_key_metadata_access_key_id","iam.access_key_metadata_access_key_id"
"ListRoleTags","DEPENDENT","2","iam.rol_role_name","iam.rol_role_name"
"GetServerCertificate","DEPENDENT","2","iam.server_certificate_metadata_list_server_certificate_name","iam.server_certificate_metadata_list_server_certificate_name"
"GetServiceLinkedRoleDeletionStatus","DEPENDENT","2","None","None"
"GetRole","DEPENDENT","1","iam.rol_role_name","iam.rol_role_name"
"ListAttachedUserPolicies","DEPENDENT","1","iam.user_detail_list_user_name","iam.user_detail_list_user_name"
"ListPolicyVersions","DEPENDENT","3","iam.attached_policy_policy_arn","iam.attached_policy_policy_arn"
"GetPolicy","DEPENDENT","1","iam.attached_policy_policy_arn","iam.attached_policy_policy_arn"
"GetPolicyVersion","DEPENDENT","1","iam.attached_policy_policy_arn; iam.policy_version_version_id","iam.attached_policy_policy_arn; iam.policy_version_version_id"
"GetMFADevice","DEPENDENT","1","iam.mfa_devic_serial_number","iam.mfa_devic_serial_number"
"GetServiceLastAccessedDetailsWithEntities","DEPENDENT","1","iam.access_detail_service_namespace","iam.access_detail_service_namespace"
"GetGroupPolicy","DEPENDENT","1","iam.group_group_name; iam.policy_policy_name","iam.group_group_name; iam.policy_policy_name"
"GetOpenIDConnectProvider","DEPENDENT","1","None","None"
