csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,desktops,work_request.time_created,item.work_request.time_created,string,No,oci.desktops.list_work_requests,read_list,Yes,oci.desktops.list_work_requests,oci.desktops.list_work_requests,1,0,oci.desktops.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DesktopsClient().list_work_requests(compartment_id=compartment_id).data,/20160918/workRequests
oci,desktops,work_request.freeform_tags,item.work_request.freeform_tags,object,No,oci.desktops.list_work_requests,read_list,Yes,oci.desktops.list_work_requests,oci.desktops.list_work_requests,1,0,oci.desktops.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_work_requests(compartment_id=compartment_id).data,/20160918/workRequests
oci,desktops,work_request.defined_tags,item.work_request.defined_tags,object,No,oci.desktops.list_work_requests,read_list,Yes,oci.desktops.list_work_requests,oci.desktops.list_work_requests,1,0,oci.desktops.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_work_requests(compartment_id=compartment_id).data,/20160918/workRequests
oci,desktops,desktop_pool_desktop.name,item.desktop_pool_desktop.name,string,No,oci.desktops.list_desktop_pool_desktops,read_list,Yes,oci.desktops.list_desktop_pool_desktops,oci.desktops.list_desktop_pool_desktops,1,0,oci.desktops.list_desktop_pool_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_desktop_pool_desktops(compartment_id=compartment_id).data,/20160918/desktopPoolDesktops
oci,desktops,desktop_pool_desktop.status,item.desktop_pool_desktop.status,string,No,oci.desktops.list_desktop_pool_desktops,read_list,Yes,oci.desktops.list_desktop_pool_desktops,oci.desktops.list_desktop_pool_desktops,1,0,oci.desktops.list_desktop_pool_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_desktop_pool_desktops(compartment_id=compartment_id).data,/20160918/desktopPoolDesktops
oci,desktops,desktop_pool_desktop.time_created,item.desktop_pool_desktop.time_created,string,No,oci.desktops.list_desktop_pool_desktops,read_list,Yes,oci.desktops.list_desktop_pool_desktops,oci.desktops.list_desktop_pool_desktops,1,0,oci.desktops.list_desktop_pool_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DesktopsClient().list_desktop_pool_desktops(compartment_id=compartment_id).data,/20160918/desktopPoolDesktops
oci,desktops,desktop_pool_desktop.freeform_tags,item.desktop_pool_desktop.freeform_tags,object,No,oci.desktops.list_desktop_pool_desktops,read_list,Yes,oci.desktops.list_desktop_pool_desktops,oci.desktops.list_desktop_pool_desktops,1,0,oci.desktops.list_desktop_pool_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_desktop_pool_desktops(compartment_id=compartment_id).data,/20160918/desktopPoolDesktops
oci,desktops,desktop_pool_desktop.defined_tags,item.desktop_pool_desktop.defined_tags,object,No,oci.desktops.list_desktop_pool_desktops,read_list,Yes,oci.desktops.list_desktop_pool_desktops,oci.desktops.list_desktop_pool_desktops,1,0,oci.desktops.list_desktop_pool_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_desktop_pool_desktops(compartment_id=compartment_id).data,/20160918/desktopPoolDesktops
oci,desktops,desktop_pool_volum.name,item.desktop_pool_volum.name,string,No,oci.desktops.list_desktop_pool_volumes,read_list,Yes,oci.desktops.list_desktop_pool_volumes,oci.desktops.list_desktop_pool_volumes,1,0,oci.desktops.list_desktop_pool_volumes[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_desktop_pool_volumes(compartment_id=compartment_id).data,/20160918/desktopPoolVolumes
oci,desktops,desktop_pool_volum.status,item.desktop_pool_volum.status,string,No,oci.desktops.list_desktop_pool_volumes,read_list,Yes,oci.desktops.list_desktop_pool_volumes,oci.desktops.list_desktop_pool_volumes,1,0,oci.desktops.list_desktop_pool_volumes[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_desktop_pool_volumes(compartment_id=compartment_id).data,/20160918/desktopPoolVolumes
oci,desktops,desktop_pool_volum.time_created,item.desktop_pool_volum.time_created,string,No,oci.desktops.list_desktop_pool_volumes,read_list,Yes,oci.desktops.list_desktop_pool_volumes,oci.desktops.list_desktop_pool_volumes,1,0,oci.desktops.list_desktop_pool_volumes[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DesktopsClient().list_desktop_pool_volumes(compartment_id=compartment_id).data,/20160918/desktopPoolVolumes
oci,desktops,desktop_pool_volum.freeform_tags,item.desktop_pool_volum.freeform_tags,object,No,oci.desktops.list_desktop_pool_volumes,read_list,Yes,oci.desktops.list_desktop_pool_volumes,oci.desktops.list_desktop_pool_volumes,1,0,oci.desktops.list_desktop_pool_volumes[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_desktop_pool_volumes(compartment_id=compartment_id).data,/20160918/desktopPoolVolumes
oci,desktops,desktop_pool_volum.defined_tags,item.desktop_pool_volum.defined_tags,object,No,oci.desktops.list_desktop_pool_volumes,read_list,Yes,oci.desktops.list_desktop_pool_volumes,oci.desktops.list_desktop_pool_volumes,1,0,oci.desktops.list_desktop_pool_volumes[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_desktop_pool_volumes(compartment_id=compartment_id).data,/20160918/desktopPoolVolumes
oci,desktops,work_request_error.name,item.work_request_error.name,string,No,oci.desktops.list_work_request_errors,read_list,Yes,oci.desktops.list_work_request_errors,oci.desktops.list_work_request_errors,1,0,oci.desktops.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_work_request_errors(compartment_id=compartment_id).data,/20160918/workRequestErrors
oci,desktops,work_request_error.status,item.work_request_error.status,string,No,oci.desktops.list_work_request_errors,read_list,Yes,oci.desktops.list_work_request_errors,oci.desktops.list_work_request_errors,1,0,oci.desktops.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_work_request_errors(compartment_id=compartment_id).data,/20160918/workRequestErrors
oci,desktops,work_request_error.time_created,item.work_request_error.time_created,string,No,oci.desktops.list_work_request_errors,read_list,Yes,oci.desktops.list_work_request_errors,oci.desktops.list_work_request_errors,1,0,oci.desktops.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DesktopsClient().list_work_request_errors(compartment_id=compartment_id).data,/20160918/workRequestErrors
oci,desktops,work_request_error.freeform_tags,item.work_request_error.freeform_tags,object,No,oci.desktops.list_work_request_errors,read_list,Yes,oci.desktops.list_work_request_errors,oci.desktops.list_work_request_errors,1,0,oci.desktops.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_work_request_errors(compartment_id=compartment_id).data,/20160918/workRequestErrors
oci,desktops,work_request_error.defined_tags,item.work_request_error.defined_tags,object,No,oci.desktops.list_work_request_errors,read_list,Yes,oci.desktops.list_work_request_errors,oci.desktops.list_work_request_errors,1,0,oci.desktops.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_work_request_errors(compartment_id=compartment_id).data,/20160918/workRequestErrors
oci,desktops,work_request_log.name,item.work_request_log.name,string,No,oci.desktops.list_work_request_logs,read_list,Yes,oci.desktops.list_work_request_logs,oci.desktops.list_work_request_logs,1,0,oci.desktops.list_work_request_logs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_work_request_logs(compartment_id=compartment_id).data,/20160918/workRequestLogs
oci,desktops,work_request_log.status,item.work_request_log.status,string,No,oci.desktops.list_work_request_logs,read_list,Yes,oci.desktops.list_work_request_logs,oci.desktops.list_work_request_logs,1,0,oci.desktops.list_work_request_logs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_work_request_logs(compartment_id=compartment_id).data,/20160918/workRequestLogs
oci,desktops,work_request_log.time_created,item.work_request_log.time_created,string,No,oci.desktops.list_work_request_logs,read_list,Yes,oci.desktops.list_work_request_logs,oci.desktops.list_work_request_logs,1,0,oci.desktops.list_work_request_logs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DesktopsClient().list_work_request_logs(compartment_id=compartment_id).data,/20160918/workRequestLogs
oci,desktops,work_request_log.freeform_tags,item.work_request_log.freeform_tags,object,No,oci.desktops.list_work_request_logs,read_list,Yes,oci.desktops.list_work_request_logs,oci.desktops.list_work_request_logs,1,0,oci.desktops.list_work_request_logs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_work_request_logs(compartment_id=compartment_id).data,/20160918/workRequestLogs
oci,desktops,work_request_log.defined_tags,item.work_request_log.defined_tags,object,No,oci.desktops.list_work_request_logs,read_list,Yes,oci.desktops.list_work_request_logs,oci.desktops.list_work_request_logs,1,0,oci.desktops.list_work_request_logs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_work_request_logs(compartment_id=compartment_id).data,/20160918/workRequestLogs
