csp,service,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,python_call,http_path,produced_fields,fields_types,fields_operators,resource_type,resource_id_field,resource_id_param,rule_count,check_rule_yaml,is_active,updated_at
oci,opsi,oci.opsi.get_awr_report,read_get,No,oci.opsi.get_awr_report,oci.opsi.get_awr_report,1,0,oci.opsi.get_awr_report[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"OpsiClient().get_awr_report(compartment_id=compartment_id, awr_report_id=awr_report_id).data",/20160918/awrReports/{AwrReportId},awr_report.name|awr_report.status|awr_report.time_created|awr_report.freeform_tags|awr_report.defined_tags,awr_report.name:string|awr_report.status:string|awr_report.time_created:string|awr_report.freeform_tags:object|awr_report.defined_tags:object,"awr_report.name:contains, equals, in, not_equals|awr_report.status:contains, equals, in, not_equals|awr_report.time_created:contains, equals, exists, in, not_equals|awr_report.freeform_tags:exists, not_empty|awr_report.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.get_enterprise_manager_bridge,read_get,No,oci.opsi.get_enterprise_manager_bridge,oci.opsi.get_enterprise_manager_bridge,1,0,oci.opsi.get_enterprise_manager_bridge[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"OpsiClient().get_enterprise_manager_bridge(compartment_id=compartment_id, enterprise_manager_bridge_id=enterprise_manager_bridge_id).data",/20160918/enterpriseManagerBridges/{EnterpriseManagerBridgeId},enterprise_manager_bridge.name|enterprise_manager_bridge.status|enterprise_manager_bridge.time_created|enterprise_manager_bridge.freeform_tags|enterprise_manager_bridge.defined_tags,enterprise_manager_bridge.name:string|enterprise_manager_bridge.status:string|enterprise_manager_bridge.time_created:string|enterprise_manager_bridge.freeform_tags:string|enterprise_manager_bridge.defined_tags:string,"enterprise_manager_bridge.name:contains, equals, in, not_equals|enterprise_manager_bridge.status:contains, equals, in, not_equals|enterprise_manager_bridge.time_created:contains, equals, exists, in, not_equals|enterprise_manager_bridge.freeform_tags:exists, not_empty|enterprise_manager_bridge.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.get_operations_insights_warehouse,read_get,No,oci.opsi.list_operations_insights_warehouses,oci.opsi.list_operations_insights_warehouses → oci.opsi.get_operations_insights_warehouse,2,1,oci.opsi.list_operations_insights_warehouses[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.opsi.get_operations_insights_warehouse[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"OpsiClient().get_operations_insights_warehouse(compartment_id=compartment_id, operations_insights_warehouse_id=operations_insights_warehouse_id).data",/20160918/operationsInsightsWarehouses/{OperationsInsightsWarehouseId},operations_insights_warehouse.name|operations_insights_warehouse.status|operations_insights_warehouse.time_created|operations_insights_warehouse.freeform_tags|operations_insights_warehouse.defined_tags,operations_insights_warehouse.name:string|operations_insights_warehouse.status:string|operations_insights_warehouse.time_created:string|operations_insights_warehouse.freeform_tags:object|operations_insights_warehouse.defined_tags:object,"operations_insights_warehouse.name:contains, equals, in, not_equals|operations_insights_warehouse.status:contains, equals, in, not_equals|operations_insights_warehouse.time_created:contains, equals, exists, in, not_equals|operations_insights_warehouse.freeform_tags:exists, not_empty|operations_insights_warehouse.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_addm_db_finding_categories,read_list,Yes,oci.opsi.list_addm_db_finding_categories,oci.opsi.list_addm_db_finding_categories,1,0,oci.opsi.list_addm_db_finding_categories[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_addm_db_finding_categories(compartment_id=compartment_id).data,/20160918/addmDbFindingCategories,ocid|addm_db_finding_category.name|addm_db_finding_category.status|addm_db_finding_category.time_created|addm_db_finding_category.freeform_tags|addm_db_finding_category.defined_tags,ocid:string|addm_db_finding_category.name:string|addm_db_finding_category.status:string|addm_db_finding_category.time_created:string|addm_db_finding_category.freeform_tags:object|addm_db_finding_category.defined_tags:object,"ocid:equals, exists, not_equals|addm_db_finding_category.name:contains, equals, in, not_equals|addm_db_finding_category.status:contains, equals, in, not_equals|addm_db_finding_category.time_created:contains, equals, exists, in, not_equals|addm_db_finding_category.freeform_tags:exists, not_empty|addm_db_finding_category.defined_tags:exists, not_empty",,ocid,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_addm_db_findings_time_series,read_list,Yes,oci.opsi.list_addm_db_findings_time_series,oci.opsi.list_addm_db_findings_time_series,1,0,oci.opsi.list_addm_db_findings_time_series[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_addm_db_findings_time_series(compartment_id=compartment_id).data,/20160918/addmDbFindingsTimeSeries,addm_db_findings_time_sery.name|addm_db_findings_time_sery.status|addm_db_findings_time_sery.time_created|addm_db_findings_time_sery.freeform_tags|addm_db_findings_time_sery.defined_tags,addm_db_findings_time_sery.name:string|addm_db_findings_time_sery.status:string|addm_db_findings_time_sery.time_created:string|addm_db_findings_time_sery.freeform_tags:string|addm_db_findings_time_sery.defined_tags:string,"addm_db_findings_time_sery.name:contains, equals, exists, in, not_equals|addm_db_findings_time_sery.status:contains, equals, exists, in, not_equals|addm_db_findings_time_sery.time_created:contains, equals, exists, in, not_equals|addm_db_findings_time_sery.freeform_tags:exists, not_empty|addm_db_findings_time_sery.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_addm_db_parameter_categories,read_list,Yes,oci.opsi.list_addm_db_parameter_categories,oci.opsi.list_addm_db_parameter_categories,1,0,oci.opsi.list_addm_db_parameter_categories[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_addm_db_parameter_categories(compartment_id=compartment_id).data,/20160918/addmDbParameterCategories,addm_db_parameter_category.name|addm_db_parameter_category.status|addm_db_parameter_category.time_created|addm_db_parameter_category.freeform_tags|addm_db_parameter_category.defined_tags,addm_db_parameter_category.name:string|addm_db_parameter_category.status:string|addm_db_parameter_category.time_created:string|addm_db_parameter_category.freeform_tags:object|addm_db_parameter_category.defined_tags:object,"addm_db_parameter_category.name:contains, equals, in, not_equals|addm_db_parameter_category.status:contains, equals, in, not_equals|addm_db_parameter_category.time_created:contains, equals, exists, in, not_equals|addm_db_parameter_category.freeform_tags:exists, not_empty|addm_db_parameter_category.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_addm_db_recommendation_categories,read_list,Yes,oci.opsi.list_addm_db_recommendation_categories,oci.opsi.list_addm_db_recommendation_categories,1,0,oci.opsi.list_addm_db_recommendation_categories[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_addm_db_recommendation_categories(compartment_id=compartment_id).data,/20160918/addmDbRecommendationCategories,addm_db_recommendation_category.name|addm_db_recommendation_category.status|addm_db_recommendation_category.time_created|addm_db_recommendation_category.freeform_tags|addm_db_recommendation_category.defined_tags,addm_db_recommendation_category.name:string|addm_db_recommendation_category.status:string|addm_db_recommendation_category.time_created:string|addm_db_recommendation_category.freeform_tags:object|addm_db_recommendation_category.defined_tags:object,"addm_db_recommendation_category.name:contains, equals, in, not_equals|addm_db_recommendation_category.status:contains, equals, in, not_equals|addm_db_recommendation_category.time_created:contains, equals, exists, in, not_equals|addm_db_recommendation_category.freeform_tags:exists, not_empty|addm_db_recommendation_category.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_addm_db_recommendations_time_series,read_list,Yes,oci.opsi.list_addm_db_recommendations_time_series,oci.opsi.list_addm_db_recommendations_time_series,1,0,oci.opsi.list_addm_db_recommendations_time_series[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_addm_db_recommendations_time_series(compartment_id=compartment_id).data,/20160918/addmDbRecommendationsTimeSeries,addm_db_recommendations_time_sery.name|addm_db_recommendations_time_sery.status|addm_db_recommendations_time_sery.time_created|addm_db_recommendations_time_sery.freeform_tags|addm_db_recommendations_time_sery.defined_tags,addm_db_recommendations_time_sery.name:string|addm_db_recommendations_time_sery.status:string|addm_db_recommendations_time_sery.time_created:string|addm_db_recommendations_time_sery.freeform_tags:string|addm_db_recommendations_time_sery.defined_tags:string,"addm_db_recommendations_time_sery.name:contains, equals, exists, in, not_equals|addm_db_recommendations_time_sery.status:contains, equals, exists, in, not_equals|addm_db_recommendations_time_sery.time_created:contains, equals, exists, in, not_equals|addm_db_recommendations_time_sery.freeform_tags:exists, not_empty|addm_db_recommendations_time_sery.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_addm_dbs,read_list,Yes,oci.opsi.list_addm_dbs,oci.opsi.list_addm_dbs,1,0,oci.opsi.list_addm_dbs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_addm_dbs(compartment_id=compartment_id).data,/20160918/addmDbs,addm_db.name|addm_db.status|addm_db.time_created|addm_db.freeform_tags|addm_db.defined_tags,addm_db.name:string|addm_db.status:string|addm_db.time_created:string|addm_db.freeform_tags:object|addm_db.defined_tags:object,"addm_db.name:contains, equals, in, not_equals|addm_db.status:contains, equals, in, not_equals|addm_db.time_created:contains, equals, exists, in, not_equals|addm_db.freeform_tags:exists, not_empty|addm_db.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_awr_database_snapshots,read_list,Yes,oci.opsi.list_awr_database_snapshots,oci.opsi.list_awr_database_snapshots,1,0,oci.opsi.list_awr_database_snapshots[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_awr_database_snapshots(compartment_id=compartment_id).data,/20160918/awrDatabaseSnapshots,awr_database_snapshot.name|awr_database_snapshot.status|awr_database_snapshot.time_created|awr_database_snapshot.freeform_tags|awr_database_snapshot.defined_tags,awr_database_snapshot.name:string|awr_database_snapshot.status:string|awr_database_snapshot.time_created:string|awr_database_snapshot.freeform_tags:object|awr_database_snapshot.defined_tags:object,"awr_database_snapshot.name:contains, equals, in, not_equals|awr_database_snapshot.status:contains, equals, in, not_equals|awr_database_snapshot.time_created:contains, equals, exists, in, not_equals|awr_database_snapshot.freeform_tags:exists, not_empty|awr_database_snapshot.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
