csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,ai_document,ocid,item.ocid,string,Yes,oci.ai_document.list_models,read_list,Yes,oci.ai_document.list_models,oci.ai_document.list_models,1,0,oci.ai_document.list_models[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,AiDocumentClient().list_models(compartment_id=compartment_id).data,/20160918/models
oci,ai_document,compartment_id,item.compartment_id,string,Yes,oci.ai_document.list_work_requests,read_list,Yes,oci.ai_document.list_work_requests,oci.ai_document.list_work_requests,1,0,oci.ai_document.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,AiDocumentClient().list_work_requests(compartment_id=compartment_id).data,/20160918/workRequests
oci,ai_document,model.name,item.model.name,string,No,oci.ai_document.list_models,read_list,Yes,oci.ai_document.list_models,oci.ai_document.list_models,1,0,oci.ai_document.list_models[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,AiDocumentClient().list_models(compartment_id=compartment_id).data,/20160918/models
oci,ai_document,model.status,item.model.status,string,No,oci.ai_document.list_models,read_list,Yes,oci.ai_document.list_models,oci.ai_document.list_models,1,0,oci.ai_document.list_models[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,AiDocumentClient().list_models(compartment_id=compartment_id).data,/20160918/models
oci,ai_document,model.time_created,item.model.time_created,string,No,oci.ai_document.list_models,read_list,Yes,oci.ai_document.list_models,oci.ai_document.list_models,1,0,oci.ai_document.list_models[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,AiDocumentClient().list_models(compartment_id=compartment_id).data,/20160918/models
oci,ai_document,model.freeform_tags,item.model.freeform_tags,object,No,oci.ai_document.list_models,read_list,Yes,oci.ai_document.list_models,oci.ai_document.list_models,1,0,oci.ai_document.list_models[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",AiDocumentClient().list_models(compartment_id=compartment_id).data,/20160918/models
oci,ai_document,model.defined_tags,item.model.defined_tags,object,No,oci.ai_document.list_models,read_list,Yes,oci.ai_document.list_models,oci.ai_document.list_models,1,0,oci.ai_document.list_models[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",AiDocumentClient().list_models(compartment_id=compartment_id).data,/20160918/models
oci,ai_document,model_type.name,item.model_type.name,string,No,oci.ai_document.get_model_type,read_get,No,oci.ai_document.get_model_type,oci.ai_document.get_model_type,1,0,oci.ai_document.get_model_type[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"AiDocumentClient().get_model_type(compartment_id=compartment_id, model_type_id=model_type_id).data",/20160918/modelTypes/{ModelTypeId}
oci,ai_document,model_type.status,item.model_type.status,string,No,oci.ai_document.get_model_type,read_get,No,oci.ai_document.get_model_type,oci.ai_document.get_model_type,1,0,oci.ai_document.get_model_type[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"AiDocumentClient().get_model_type(compartment_id=compartment_id, model_type_id=model_type_id).data",/20160918/modelTypes/{ModelTypeId}
oci,ai_document,model_type.time_created,item.model_type.time_created,string,No,oci.ai_document.get_model_type,read_get,No,oci.ai_document.get_model_type,oci.ai_document.get_model_type,1,0,oci.ai_document.get_model_type[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"AiDocumentClient().get_model_type(compartment_id=compartment_id, model_type_id=model_type_id).data",/20160918/modelTypes/{ModelTypeId}
oci,ai_document,model_type.freeform_tags,item.model_type.freeform_tags,object,No,oci.ai_document.get_model_type,read_get,No,oci.ai_document.get_model_type,oci.ai_document.get_model_type,1,0,oci.ai_document.get_model_type[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","AiDocumentClient().get_model_type(compartment_id=compartment_id, model_type_id=model_type_id).data",/20160918/modelTypes/{ModelTypeId}
oci,ai_document,model_type.defined_tags,item.model_type.defined_tags,object,No,oci.ai_document.get_model_type,read_get,No,oci.ai_document.get_model_type,oci.ai_document.get_model_type,1,0,oci.ai_document.get_model_type[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","AiDocumentClient().get_model_type(compartment_id=compartment_id, model_type_id=model_type_id).data",/20160918/modelTypes/{ModelTypeId}
oci,ai_document,processor_job.name,item.processor_job.name,string,No,oci.ai_document.get_processor_job,read_get,No,oci.ai_document.get_processor_job,oci.ai_document.get_processor_job,1,0,oci.ai_document.get_processor_job[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"AiDocumentClient().get_processor_job(compartment_id=compartment_id, processor_job_id=processor_job_id).data",/20160918/processorJobs/{ProcessorJobId}
oci,ai_document,processor_job.status,item.processor_job.status,string,No,oci.ai_document.get_processor_job,read_get,No,oci.ai_document.get_processor_job,oci.ai_document.get_processor_job,1,0,oci.ai_document.get_processor_job[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"AiDocumentClient().get_processor_job(compartment_id=compartment_id, processor_job_id=processor_job_id).data",/20160918/processorJobs/{ProcessorJobId}
oci,ai_document,processor_job.time_created,item.processor_job.time_created,string,No,oci.ai_document.get_processor_job,read_get,No,oci.ai_document.get_processor_job,oci.ai_document.get_processor_job,1,0,oci.ai_document.get_processor_job[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"AiDocumentClient().get_processor_job(compartment_id=compartment_id, processor_job_id=processor_job_id).data",/20160918/processorJobs/{ProcessorJobId}
oci,ai_document,processor_job.freeform_tags,item.processor_job.freeform_tags,object,No,oci.ai_document.get_processor_job,read_get,No,oci.ai_document.get_processor_job,oci.ai_document.get_processor_job,1,0,oci.ai_document.get_processor_job[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","AiDocumentClient().get_processor_job(compartment_id=compartment_id, processor_job_id=processor_job_id).data",/20160918/processorJobs/{ProcessorJobId}
oci,ai_document,processor_job.defined_tags,item.processor_job.defined_tags,object,No,oci.ai_document.get_processor_job,read_get,No,oci.ai_document.get_processor_job,oci.ai_document.get_processor_job,1,0,oci.ai_document.get_processor_job[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","AiDocumentClient().get_processor_job(compartment_id=compartment_id, processor_job_id=processor_job_id).data",/20160918/processorJobs/{ProcessorJobId}
oci,ai_document,project.name,item.project.name,string,No,oci.ai_document.list_projects,read_list,Yes,oci.ai_document.list_projects,oci.ai_document.list_projects,1,0,oci.ai_document.list_projects[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,AiDocumentClient().list_projects(compartment_id=compartment_id).data,/20160918/projects
oci,ai_document,project.status,item.project.status,string,No,oci.ai_document.list_projects,read_list,Yes,oci.ai_document.list_projects,oci.ai_document.list_projects,1,0,oci.ai_document.list_projects[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,AiDocumentClient().list_projects(compartment_id=compartment_id).data,/20160918/projects
