Finding ID,Rule ID,Rule Version,Category,Title,Description,Severity,Confidence,Status,First Seen At,Last Seen At,Resource Type,Resource ID,Resource ARN,Region,Framework,Control ID
22525fa4-7dab-5947-b43f-4ce49f9115e0,aws.athena.resource.workgroup_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.152973Z,2026-01-14T04:42:04.152973Z,athena,,aws.athena.resource.workgroup_logging_enabled#us-west-2#athena,us-west-2,,
a1561dbe-2e59-5510-991c-24dd5c0124a2,aws.athena.workgroup.admin_activity_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.153007Z,2026-01-14T04:42:04.153007Z,athena,,aws.athena.workgroup.admin_activity_logging_enabled#us-west-2#athena,us-west-2,,
971fb9bc-54e6-5085-8a7b-4444ae5a25c6,aws.athena.workgroup.athena_allowed_data_sources_allowlist_configured,,,,,medium,high,open,2026-01-14T04:42:04.153040Z,2026-01-14T04:42:04.153040Z,athena,,aws.athena.workgroup.athena_allowed_data_sources_allowlist_configured#us-west-2#athena,us-west-2,,
5648d3d8-d0f7-57bc-a4c8-fd6b09b8c778,aws.athena.workgroup.encryption_at_rest_enabled,,,,,medium,high,open,2026-01-14T04:42:04.153073Z,2026-01-14T04:42:04.153073Z,athena,,aws.athena.workgroup.encryption_at_rest_enabled#us-west-2#athena,us-west-2,,
6b1ebe34-2c55-5cd4-8f0a-4b3028f14e75,aws.athena.workgroup.logs_retention_days_minimum,,,,,medium,high,open,2026-01-14T04:42:04.153112Z,2026-01-14T04:42:04.153112Z,athena,,aws.athena.workgroup.logs_retention_days_minimum#us-west-2#athena,us-west-2,,
83a4fe87-0233-5b74-b34b-ba69a249cf4c,aws.athena.workgroup.query_access_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.153145Z,2026-01-14T04:42:04.153145Z,athena,,aws.athena.workgroup.query_access_logging_enabled#us-west-2#athena,us-west-2,,
9f0fa8b2-893b-5587-b86a-bd03a9decaea,aws.athena.workgroup.query_result_encryption_enabled,,,,,medium,high,open,2026-01-14T04:42:04.153180Z,2026-01-14T04:42:04.153180Z,athena,,aws.athena.workgroup.query_result_encryption_enabled#us-west-2#athena,us-west-2,,
880af63f-f585-50e5-9242-09cfc0e878a0,aws.athena.workgroup_encryption.at_rest_enabled,,,,,medium,high,open,2026-01-14T04:42:04.153213Z,2026-01-14T04:42:04.153213Z,athena,,aws.athena.workgroup_encryption.at_rest_enabled#us-west-2#athena,us-west-2,,
1228f46a-0709-57cc-b7b9-fc495395e740,aws.account.contact.current_details_configured,,,,,medium,high,open,2026-01-14T04:42:04.153254Z,2026-01-14T04:42:04.153254Z,account,,aws.account.contact.current_details_configured#global#account,global,,
e4937a5f-43f2-5110-a0be-c09840a8e368,aws.account.contact.details_separate_security_billing_operations_configured,,,,,medium,high,open,2026-01-14T04:42:04.153292Z,2026-01-14T04:42:04.153292Z,account,,aws.account.contact.details_separate_security_billing_operations_configured#global#account,global,,
afc41453-bd8f-564a-bc83-5ae2adf79702,aws.account.resource.security_contact_complete,,,,,medium,high,open,2026-01-14T04:42:04.153329Z,2026-01-14T04:42:04.153329Z,account,,aws.account.resource.security_contact_complete#global#account,global,,
b3ab970d-7e62-5a4a-b679-df6584e38fe8,aws.account.resource.security_contact_configured,,,,,medium,high,open,2026-01-14T04:42:04.153367Z,2026-01-14T04:42:04.153367Z,account,,aws.account.resource.security_contact_configured#global#account,global,,
8411eb86-106d-5c77-a59e-4a6777801344,aws.account.security.contact_information_configured,,,,,medium,high,open,2026-01-14T04:42:04.153403Z,2026-01-14T04:42:04.153403Z,account,,aws.account.security.contact_information_configured#global#account,global,,
af76ac8c-a8aa-5860-b7e6-6120fc4f3c3a,aws.bedrock.model.bedrock_artifact_encrypted_at_rest,,,,,medium,high,open,2026-01-14T04:42:04.153443Z,2026-01-14T04:42:04.153443Z,bedrock,,aws.bedrock.model.bedrock_artifact_encrypted_at_rest#us-east-1#bedrock,us-east-1,,
947094ca-74f2-56f6-8ae4-b0599eee6973,aws.bedrock.model.bedrock_image_scan_passed_configured,,,,,medium,high,open,2026-01-14T04:42:04.153477Z,2026-01-14T04:42:04.153477Z,bedrock,,aws.bedrock.model.bedrock_image_scan_passed_configured#us-east-1#bedrock,us-east-1,,
f9d914f1-b2a2-5a70-916d-f676a2b1753e,aws.bedrock.model.bedrock_kms_cmk_used_configured,,,,,medium,high,open,2026-01-14T04:42:04.153510Z,2026-01-14T04:42:04.153510Z,bedrock,,aws.bedrock.model.bedrock_kms_cmk_used_configured#us-east-1#bedrock,us-east-1,,
