Resource Type,Classification,Should Inventory,Use for Enrichment,Has ARN,Can Get from Root,Requires Dependent,Root Operations,Dependent Operations
"customer_gateway_customer_gateway","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCustomerGateways; DescribeVpnConnections","GetVpnTunnelReplacementStatus"
"customer_gateway_device","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCustomerGateways","None"
"dhcp_option_dhcp_options","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeDhcpOptions; DescribeVpcs","None"
"egress_only_internet_gateway_egress_only_internet_gateway","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeEgressOnlyInternetGateways","None"
"elastic_gpu_set_elastic_gpu","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeElasticGpus","None"
"exclusion","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpcBlockPublicAccessExclusions","None"
"export_image_task_export_image_task","EPHEMERAL","No","No","No","Yes","No","DescribeExportImageTasks","None"
"export_image_task_image","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeExportImageTasks; DescribeFastLaunchImages; DescribeImageUsageReportEntries; DescribeImageUsageReports; DescribeImages; DescribeImportImageTasks; DescribeReplaceRootVolumeTasks; ListImagesInRecycleBin","DescribeImageAttribute; DescribeImageReferences; GetImageAncestry; GetLaunchTemplateData"
"export_task_export_task","EPHEMERAL","No","No","No","Yes","No","DescribeExportTasks","None"
"fast_snapshot_restor_snapshot","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeFastSnapshotRestores; DescribeLockedSnapshots; DescribeReplaceRootVolumeTasks; DescribeSnapshotTierStatus; DescribeSnapshots; DescribeVolumes; ListSnapshotsInRecycleBin; ListVolumesInRecycleBin","DescribeSnapshotAttribute"
"fleet_fleet","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeFleets","DescribeFleetHistory; DescribeFleetInstances"
"flow_log_deliver_logs_permission","CONFIGURATION","No","Yes","Yes","Yes","No","DescribeFlowLogs","None"
"flow_log_flow_log","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeFlowLogs","None"
"flow_log_log_group","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeFlowLogs","None"
"fpga_imag","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeFpgaImages; DescribeImages; DescribeInstanceEventWindows; ListImagesInRecycleBin","DescribeFpgaImageAttribute"
"fpga_imag_fpga_image","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeFpgaImages","DescribeFpgaImageAttribute"
"fpga_imag_fpga_image_global","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeFpgaImages","None"
"fpga_imag_pci","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeFpgaImages","None"
"group","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations","None"
"history_record_resource","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetIpamAddressHistory; GetIpamResourceCidrs"
"host_asset","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeHosts","None"
"host_host","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeHosts; DescribeMacHosts","None"
"host_reservation_set_host_reservation","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeHostReservations; DescribeHosts","GetHostReservationPurchasePreview"
"imag_kernel","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeImages","DescribeImageAttribute; DescribeInstanceAttribute; GetLaunchTemplateData"
"imag_ramdisk","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeImages","DescribeImageAttribute; DescribeInstanceAttribute"
"imag_root_device","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeImages","DescribeInstanceAttribute"
"imag_source_image","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeImages","GetImageAncestry"
"imag_source_instance","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeImages","None"
"image_usage_report_entry_account","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeImageUsageReportEntries","GetCapacityManagerMetricDimensions; GetCapacityReservationUsage; GetIpamDiscoveredAccounts"
"import_image_task_import_task","EPHEMERAL","No","No","No","Yes","No","DescribeImportImageTasks; DescribeImportSnapshotTasks","None"
"import_image_task_kms_key","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeImportImageTasks; DescribeSnapshots; DescribeVolumes; GetEbsDefaultKmsKeyId","None"
"instance_connect_endpoint","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeInstanceConnectEndpoints","None"
"instance_connect_endpoint_fips_dns","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeInstanceConnectEndpoints","None"
"instance_connect_endpoint_instance_connect_endpoint","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeInstanceConnectEndpoints; DescribeInstanceConnectEndpoints","None"
"instance_event_window_instance_event_window","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeInstanceEventWindows","None"
"interface_association_branch_interface","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTrunkInterfaceAssociations","None"
"interface_association_trunk_interface","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTrunkInterfaceAssociations","None"
"interface_association_vlan","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTrunkInterfaceAssociations","None"
"internet_gateway_internet_gateway","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeInternetGateways","None"
"ipam","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamExternalResourceVerificationTokens","None"
"ipam_default_resource_discovery","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpams","None"
"ipam_default_resource_discovery_association","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpams","None"
"ipam_discovered_account_organizational_unit","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetIpamDiscoveredAccounts"
"ipam_discovered_public_address_address_allocation","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetIpamDiscoveredPublicAddresses"
"ipam_discovered_public_address_address_owner","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetIpamDiscoveredPublicAddresses"
"ipam_discovered_public_address_public_ipv4_pool","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetIpamDiscoveredPublicAddresses"
"ipam_discovery_association","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamResourceDiscoveryAssociations","None"
"ipam_discovery_association_ipam_discovery_association","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamResourceDiscoveryAssociations","None"
"ipam_discovery_ipam_discovery","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamResourceDiscoveries","None"
"ipam_external_resource_verification_token_ipam_external_resource_verification_token","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpamExternalResourceVerificationTokens","None"
"ipam_external_resource_verification_token_token","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpamExternalResourceVerificationTokens","None"
"ipam_external_verification_token_ipam","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamExternalResourceVerificationTokens; DescribeIpamPools; DescribeIpamPrefixListResolvers; DescribeIpamResourceDiscoveryAssociations; DescribeIpamScopes; DescribeIpams","None"
"ipam_external_verification_token_ipam_external_verification_token","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamExternalResourceVerificationTokens","None"
"ipam_policy_ipam_policy","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamPolicies; DescribeIpamPolicies; GetEnabledIpamPolicy","GetIpamPolicyAllocationRules"
"ipam_pool_allocation_ipam_pool_allocation","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetIpamPoolAllocations"
"ipam_pool_cidr_ipam_pool_cidr","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetIpamPoolCidrs"
"ipam_pool_ipam_pool","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamPools; DescribeIpamPools","GetIpamResourceCidrs"
"ipam_pool_ipam_scope","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamPools; DescribeIpamScopes","None"
"ipam_pool_source_ipam_pool","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpamPools","None"
"ipam_prefix_list_resolver_ipam_prefix_list_resolver","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamPrefixListResolvers","None"
"ipam_prefix_list_resolver_target","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamPrefixListResolverTargets","None"
"ipam_prefix_list_resolver_target_ipam_prefix_list_resolver","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpamPrefixListResolverTargets; DescribeIpamPrefixListResolvers","None"
"ipam_prefix_list_resolver_target_ipam_prefix_list_resolver_target","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeIpamPrefixListResolverTargets; DescribeIpamPrefixListResolverTargets; DescribeManagedPrefixLists","None"
"ipam_private_default_scope","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpams","None"
"ipam_public_default_scope","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpams","None"
"ipam_resource_discovery_association_ipam_resource_discovery_association","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpamResourceDiscoveryAssociations","None"
"ipam_resource_discovery_ipam_resource_discovery","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpamResourceDiscoveries; DescribeIpamResourceDiscoveryAssociations","GetIpamDiscoveredPublicAddresses; GetIpamDiscoveredResourceCidrs"
"ipam_scop_ipam_scope","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpamScopes","GetIpamPrefixListResolverRules; GetIpamResourceCidrs"
"key","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeKeyPairs","None"
"key_pair_key","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeKeyPairs","GetLaunchTemplateData"
"key_pair_key_pair","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeKeyPairs","None"
"launch_permission_organization","PRIMARY_RESOURCE","Yes","No","Yes","No","Yes","None","DescribeImageAttribute"
"launch_permission_organizational_unit","PRIMARY_RESOURCE","Yes","No","Yes","No","Yes","None","DescribeImageAttribute"
"launch_permission_user","SUB_RESOURCE","No","Yes","No","No","Yes","None","DescribeImageAttribute"
"launch_template","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeLaunchTemplateVersions","None"
"launch_template_data_ram_disk","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetLaunchTemplateData"
"launch_template_version_launch_template","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeLaunchTemplateVersions; DescribeLaunchTemplates","None"
"local_gateway_route_table_virtual_interface_group_association_local_gateway","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations; DescribeLocalGatewayRouteTableVpcAssociations; DescribeLocalGatewayRouteTables; DescribeLocalGatewayVirtualInterfaceGroups; DescribeLocalGatewayVirtualInterfaces; DescribeLocalGateways","None"
"local_gateway_route_table_virtual_interface_group_association_local_gateway_route_table_virtual_interface_group_association","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations","None"
"local_gateway_route_table_vpc_association_local_gateway_route_table","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeLocalGatewayRouteTableVpcAssociations","None"
"local_gateway_route_table_vpc_association_local_gateway_route_table_vpc_association","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeLocalGatewayRouteTableVpcAssociations","None"
"local_gateway_virtual_interfac_local_gateway_virtual_interface","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeLocalGatewayVirtualInterfaces; DescribeLocalGatewayVirtualInterfaces","None"
"local_gateway_virtual_interfac_outpost_lag","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeLocalGatewayVirtualInterfaces; DescribeOutpostLags; DescribeServiceLinkVirtualInterfaces","None"
"local_gateway_virtual_interface_group","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeLocalGatewayVirtualInterfaceGroups","None"
"local_gateway_virtual_interface_group_local_gateway_virtual_interface_group","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeLocalGatewayVirtualInterfaceGroups","None"
"mac_host_host","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeMacHosts","None"
"mac_modification_task","EPHEMERAL","No","No","No","Yes","No","DescribeMacModificationTasks","None"
"mac_modification_task_mac_modification_task","EPHEMERAL","No","No","No","Yes","No","DescribeMacModificationTasks","None"
"metric_dimension_result_reservation","PRIMARY_RESOURCE","Yes","No","Yes","No","Yes","None","GetCapacityManagerMetricDimensions"
"nat_gateway_nat_gateway","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeNatGateways","None"
"nat_gateway_route_table","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeNatGateways; DescribeRouteTables","GetRouteServerPropagations"
"network_acl_network_acl","CONFIGURATION","No","Yes","No","Yes","No","DescribeNetworkAcls","None"
"network_insights_access_scop_network_insights_access_scope","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsAccessScopes","None"
"network_insights_access_scope_analys_network_insights_access_scope","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeNetworkInsightsAccessScopeAnalyses; DescribeNetworkInsightsAccessScopes","GetNetworkInsightsAccessScopeAnalysisFindings; GetNetworkInsightsAccessScopeContent"
"network_insights_access_scope_analys_network_insights_access_scope_analysis","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsAccessScopeAnalyses; DescribeNetworkInsightsAccessScopeAnalyses","GetNetworkInsightsAccessScopeAnalysisFindings"
"network_insights_analys_filter_ins","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsAnalyses","None"
