csp,service,op_name,op_kind,is_independent,python_call,yaml_action,required_params,optional_params,param_count,output_fields,output_fields_types,compliance_categories,resource_type,target_resource_id_param,iam_action,ciem_rule_count,ciem_rule_yaml,is_active,updated_at
gcp,accessapproval,gcp.accessapproval.gcp.accessapproval.organizations.deleteaccessapprovalsettings,write_delete,Yes,,,,,0,,,,,,accessapproval:gcp.accessapproval.organizations.deleteAccessApprovalSettings,0,,true,2026-04-17T14:43:54Z
gcp,accessapproval,gcp.accessapproval.gcp.accessapproval.projects.deleteaccessapprovalsettings,write_delete,Yes,,,,,0,,,,,,accessapproval:gcp.accessapproval.projects.deleteAccessApprovalSettings,0,,true,2026-04-17T14:43:54Z
gcp,accessapproval,gcp.accessapproval.gcp.accessapproval.folders.deleteaccessapprovalsettings,write_delete,Yes,,,,,0,,,,,,accessapproval:gcp.accessapproval.folders.deleteAccessApprovalSettings,0,,true,2026-04-17T14:43:54Z
gcp,accesscontextmanager,gcp.accesscontextmanager.gcp.accesscontextmanager.operations.delete,write_delete,No,,,,,0,,,,,,accesscontextmanager:gcp.accesscontextmanager.operations.delete,0,,true,2026-04-17T14:43:54Z
gcp,accesscontextmanager,gcp.accesscontextmanager.gcp.accesscontextmanager.accesspolicies.patch,write_update,No,,,,,0,,,,,,accesscontextmanager:gcp.accesscontextmanager.accessPolicies.patch,0,,true,2026-04-17T14:43:54Z
gcp,accesscontextmanager,gcp.accesscontextmanager.gcp.accesscontextmanager.accesspolicies.delete,write_delete,No,,,,,0,,,,,,accesscontextmanager:gcp.accesscontextmanager.accessPolicies.delete,0,,true,2026-04-17T14:43:54Z
gcp,accesscontextmanager,gcp.accesscontextmanager.gcp.accesscontextmanager.accesspolicies.create,write_create,Yes,,,,,0,,,,,,accesscontextmanager:gcp.accesscontextmanager.accessPolicies.create,0,,true,2026-04-17T14:43:54Z
gcp,accesscontextmanager,gcp.accesscontextmanager.gcp.accesscontextmanager.accesspolicies.serviceperimeters.create,write_create,Yes,,,,,0,,,,,,accesscontextmanager:gcp.accesscontextmanager.accessPolicies.servicePerimeters.create,0,,true,2026-04-17T14:43:54Z
gcp,accesscontextmanager,gcp.accesscontextmanager.gcp.accesscontextmanager.accesspolicies.serviceperimeters.patch,write_update,No,,,,,0,,,,,,accesscontextmanager:gcp.accesscontextmanager.accessPolicies.servicePerimeters.patch,0,,true,2026-04-17T14:43:54Z
gcp,accesscontextmanager,gcp.accesscontextmanager.gcp.accesscontextmanager.accesspolicies.serviceperimeters.delete,write_delete,No,,,,,0,,,,,,accesscontextmanager:gcp.accesscontextmanager.accessPolicies.servicePerimeters.delete,0,,true,2026-04-17T14:43:54Z
