csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
ibm,context_based_restrictions,id,item.id,string,Yes,ibm.context_based_restrictions.list-available-service-operations,read_list,Yes,ibm.context_based_restrictions.list-available-service-operations,ibm.context_based_restrictions.list-available-service-operations,1,0,ibm.context_based_restrictions.list-available-service-operations[id|name|crn|status|created_at|tags|...],"equals, not_equals, contains, in, exists",exists,ibm_platform_services.context_based_restrictions.ContextBasedRestrictionsV1().list_available_service_operations().get_result(),,
ibm,context_based_restrictions,name,item.name,string,No,ibm.context_based_restrictions.list-available-service-operations,read_list,Yes,ibm.context_based_restrictions.list-available-service-operations,ibm.context_based_restrictions.list-available-service-operations,1,0,ibm.context_based_restrictions.list-available-service-operations[id|name|crn|status|created_at|tags|...],"equals, not_equals, contains, in, exists",exists,ibm_platform_services.context_based_restrictions.ContextBasedRestrictionsV1().list_available_service_operations().get_result(),,
ibm,context_based_restrictions,crn,item.crn,string,Yes,ibm.context_based_restrictions.list-available-service-operations,read_list,Yes,ibm.context_based_restrictions.list-available-service-operations,ibm.context_based_restrictions.list-available-service-operations,1,0,ibm.context_based_restrictions.list-available-service-operations[id|name|crn|status|created_at|tags|...],"equals, not_equals, contains, in, exists",exists,ibm_platform_services.context_based_restrictions.ContextBasedRestrictionsV1().list_available_service_operations().get_result(),,
ibm,context_based_restrictions,status,item.status,string,No,ibm.context_based_restrictions.list-available-service-operations,read_list,Yes,ibm.context_based_restrictions.list-available-service-operations,ibm.context_based_restrictions.list-available-service-operations,1,0,ibm.context_based_restrictions.list-available-service-operations[id|name|crn|status|created_at|tags|...],"equals, not_equals, contains, in, exists",exists,ibm_platform_services.context_based_restrictions.ContextBasedRestrictionsV1().list_available_service_operations().get_result(),,
ibm,context_based_restrictions,created_at,item.created_at,string,No,ibm.context_based_restrictions.list-available-service-operations,read_list,Yes,ibm.context_based_restrictions.list-available-service-operations,ibm.context_based_restrictions.list-available-service-operations,1,0,ibm.context_based_restrictions.list-available-service-operations[id|name|crn|status|created_at|tags|...],"equals, not_equals, contains, in, exists",exists,ibm_platform_services.context_based_restrictions.ContextBasedRestrictionsV1().list_available_service_operations().get_result(),,
ibm,context_based_restrictions,tags,item.tags,array,No,ibm.context_based_restrictions.list-available-service-operations,read_list,Yes,ibm.context_based_restrictions.list-available-service-operations,ibm.context_based_restrictions.list-available-service-operations,1,0,ibm.context_based_restrictions.list-available-service-operations[id|name|crn|status|created_at|tags|...],"contains, not_empty, exists","not_empty, exists",ibm_platform_services.context_based_restrictions.ContextBasedRestrictionsV1().list_available_service_operations().get_result(),,
ibm,context_based_restrictions,items,item.items,array,No,ibm.context_based_restrictions.list-available-service-operations,read_list,Yes,ibm.context_based_restrictions.list-available-service-operations,ibm.context_based_restrictions.list-available-service-operations,1,0,ibm.context_based_restrictions.list-available-service-operations[id|name|crn|status|created_at|tags|...],"contains, not_empty, exists","not_empty, exists",ibm_platform_services.context_based_restrictions.ContextBasedRestrictionsV1().list_available_service_operations().get_result(),,
ibm,context_based_restrictions,next_token,item.next_token,string,No,ibm.context_based_restrictions.list-available-service-operations,read_list,Yes,ibm.context_based_restrictions.list-available-service-operations,ibm.context_based_restrictions.list-available-service-operations,1,0,ibm.context_based_restrictions.list-available-service-operations[id|name|crn|status|created_at|tags|...],"equals, not_equals, contains",,ibm_platform_services.context_based_restrictions.ContextBasedRestrictionsV1().list_available_service_operations().get_result(),,
ibm,context_based_restrictions,item,item.item,object,No,ibm.context_based_restrictions.get-account-settings,read_list,Yes,ibm.context_based_restrictions.get-account-settings,ibm.context_based_restrictions.get-account-settings,1,0,ibm.context_based_restrictions.get-account-settings[item],exists,exists,ibm_platform_services.context_based_restrictions.ContextBasedRestrictionsV1().get_account_settings().get_result(),,
ibm,context_based_restrictions,name,item.name,string,No,ibm.context_based_restrictions.list-available-serviceref-targets,read_list,Yes,ibm.context_based_restrictions.list-available-serviceref-targets,ibm.context_based_restrictions.list-available-serviceref-targets,1,0,ibm.context_based_restrictions.list-available-serviceref-targets[name],"equals, not_equals, contains, in",,ibm_platform_services.context_based_restrictions.ContextBasedRestrictionsV1().list_available_serviceref_targets().get_result(),,
