csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
ibm,iam_policy_management,rol.items,item.items,string,No,ibm.iam_policy_management.list-roles,read_list,Yes,ibm.iam_policy_management.list-roles,ibm.iam_policy_management.list-roles,1,0,ibm.iam_policy_management.list-roles[items|next_token|rol_id|rol_name|rol_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().list_roles().get_result(),,rol
ibm,iam_policy_management,rol.next_token,item.next_token,string,No,ibm.iam_policy_management.list-roles,read_list,Yes,ibm.iam_policy_management.list-roles,ibm.iam_policy_management.list-roles,1,0,ibm.iam_policy_management.list-roles[items|next_token|rol_id|rol_name|rol_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().list_roles().get_result(),,rol
ibm,iam_policy_management,rol.rol_id,item.rol_id,string,Yes,ibm.iam_policy_management.list-roles,read_list,Yes,ibm.iam_policy_management.list-roles,ibm.iam_policy_management.list-roles,1,0,ibm.iam_policy_management.list-roles[items|next_token|rol_id|rol_name|rol_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().list_roles().get_result(),,rol
ibm,iam_policy_management,rol.rol_name,item.rol_name,string,No,ibm.iam_policy_management.list-roles,read_list,Yes,ibm.iam_policy_management.list-roles,ibm.iam_policy_management.list-roles,1,0,ibm.iam_policy_management.list-roles[items|next_token|rol_id|rol_name|rol_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().list_roles().get_result(),,rol
ibm,iam_policy_management,rol.rol_status,item.rol_status,string,No,ibm.iam_policy_management.list-roles,read_list,Yes,ibm.iam_policy_management.list-roles,ibm.iam_policy_management.list-roles,1,0,ibm.iam_policy_management.list-roles[items|next_token|rol_id|rol_name|rol_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().list_roles().get_result(),,rol
ibm,iam_policy_management,rol.created_at,item.created_at,string,No,ibm.iam_policy_management.list-roles,read_list,Yes,ibm.iam_policy_management.list-roles,ibm.iam_policy_management.list-roles,1,0,ibm.iam_policy_management.list-roles[items|next_token|rol_id|rol_name|rol_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().list_roles().get_result(),,rol
ibm,iam_policy_management,rol.tags,item.tags,array,No,ibm.iam_policy_management.list-roles,read_list,Yes,ibm.iam_policy_management.list-roles,ibm.iam_policy_management.list-roles,1,0,ibm.iam_policy_management.list-roles[items|next_token|rol_id|rol_name|rol_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().list_roles().get_result(),,rol
ibm,iam_policy_management,crn,item.crn,string,Yes,ibm.iam_policy_management.get-action-control-assignment,read_list,Yes,ibm.iam_policy_management.get-action-control-assignment,ibm.iam_policy_management.get-action-control-assignment,1,0,ibm.iam_policy_management.get-action-control-assignment[crn|action_control_assignment_id|action_control_assignment_name|action_control_assignment_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_assignment().get_result(),,
ibm,iam_policy_management,action_control_assignment.action_control_assignment_id,item.action_control_assignment_id,string,Yes,ibm.iam_policy_management.get-action-control-assignment,read_list,Yes,ibm.iam_policy_management.get-action-control-assignment,ibm.iam_policy_management.get-action-control-assignment,1,0,ibm.iam_policy_management.get-action-control-assignment[crn|action_control_assignment_id|action_control_assignment_name|action_control_assignment_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_assignment().get_result(),,action_control_assignment
ibm,iam_policy_management,action_control_assignment.action_control_assignment_name,item.action_control_assignment_name,string,No,ibm.iam_policy_management.get-action-control-assignment,read_list,Yes,ibm.iam_policy_management.get-action-control-assignment,ibm.iam_policy_management.get-action-control-assignment,1,0,ibm.iam_policy_management.get-action-control-assignment[crn|action_control_assignment_id|action_control_assignment_name|action_control_assignment_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_assignment().get_result(),,action_control_assignment
ibm,iam_policy_management,action_control_assignment.action_control_assignment_status,item.action_control_assignment_status,string,No,ibm.iam_policy_management.get-action-control-assignment,read_list,Yes,ibm.iam_policy_management.get-action-control-assignment,ibm.iam_policy_management.get-action-control-assignment,1,0,ibm.iam_policy_management.get-action-control-assignment[crn|action_control_assignment_id|action_control_assignment_name|action_control_assignment_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_assignment().get_result(),,action_control_assignment
ibm,iam_policy_management,action_control_assignment.created_at,item.created_at,string,No,ibm.iam_policy_management.get-action-control-assignment,read_list,Yes,ibm.iam_policy_management.get-action-control-assignment,ibm.iam_policy_management.get-action-control-assignment,1,0,ibm.iam_policy_management.get-action-control-assignment[crn|action_control_assignment_id|action_control_assignment_name|action_control_assignment_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_assignment().get_result(),,action_control_assignment
ibm,iam_policy_management,action_control_assignment.tags,item.tags,array,No,ibm.iam_policy_management.get-action-control-assignment,read_list,Yes,ibm.iam_policy_management.get-action-control-assignment,ibm.iam_policy_management.get-action-control-assignment,1,0,ibm.iam_policy_management.get-action-control-assignment[crn|action_control_assignment_id|action_control_assignment_name|action_control_assignment_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_assignment().get_result(),,action_control_assignment
ibm,iam_policy_management,action_control_template.action_control_template_id,item.action_control_template_id,string,Yes,ibm.iam_policy_management.get-action-control-template,read_list,Yes,ibm.iam_policy_management.get-action-control-template,ibm.iam_policy_management.get-action-control-template,1,0,ibm.iam_policy_management.get-action-control-template[action_control_template_id|action_control_template_name|action_control_template_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_template().get_result(),,action_control_template
ibm,iam_policy_management,action_control_template.action_control_template_name,item.action_control_template_name,string,No,ibm.iam_policy_management.get-action-control-template,read_list,Yes,ibm.iam_policy_management.get-action-control-template,ibm.iam_policy_management.get-action-control-template,1,0,ibm.iam_policy_management.get-action-control-template[action_control_template_id|action_control_template_name|action_control_template_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_template().get_result(),,action_control_template
ibm,iam_policy_management,action_control_template.action_control_template_status,item.action_control_template_status,string,No,ibm.iam_policy_management.get-action-control-template,read_list,Yes,ibm.iam_policy_management.get-action-control-template,ibm.iam_policy_management.get-action-control-template,1,0,ibm.iam_policy_management.get-action-control-template[action_control_template_id|action_control_template_name|action_control_template_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_template().get_result(),,action_control_template
ibm,iam_policy_management,action_control_template.created_at,item.created_at,string,No,ibm.iam_policy_management.get-action-control-template,read_list,Yes,ibm.iam_policy_management.get-action-control-template,ibm.iam_policy_management.get-action-control-template,1,0,ibm.iam_policy_management.get-action-control-template[action_control_template_id|action_control_template_name|action_control_template_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_template().get_result(),,action_control_template
ibm,iam_policy_management,action_control_template.tags,item.tags,array,No,ibm.iam_policy_management.get-action-control-template,read_list,Yes,ibm.iam_policy_management.get-action-control-template,ibm.iam_policy_management.get-action-control-template,1,0,ibm.iam_policy_management.get-action-control-template[action_control_template_id|action_control_template_name|action_control_template_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_template().get_result(),,action_control_template
ibm,iam_policy_management,action_control_template_version.action_control_template_version_id,item.action_control_template_version_id,string,Yes,ibm.iam_policy_management.get-action-control-template-version,read_list,Yes,ibm.iam_policy_management.get-action-control-template-version,ibm.iam_policy_management.get-action-control-template-version,1,0,ibm.iam_policy_management.get-action-control-template-version[action_control_template_version_id|action_control_template_version_name|action_control_template_version_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_template_version().get_result(),,action_control_template_version
ibm,iam_policy_management,action_control_template_version.action_control_template_version_name,item.action_control_template_version_name,string,No,ibm.iam_policy_management.get-action-control-template-version,read_list,Yes,ibm.iam_policy_management.get-action-control-template-version,ibm.iam_policy_management.get-action-control-template-version,1,0,ibm.iam_policy_management.get-action-control-template-version[action_control_template_version_id|action_control_template_version_name|action_control_template_version_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_template_version().get_result(),,action_control_template_version
ibm,iam_policy_management,action_control_template_version.action_control_template_version_status,item.action_control_template_version_status,string,No,ibm.iam_policy_management.get-action-control-template-version,read_list,Yes,ibm.iam_policy_management.get-action-control-template-version,ibm.iam_policy_management.get-action-control-template-version,1,0,ibm.iam_policy_management.get-action-control-template-version[action_control_template_version_id|action_control_template_version_name|action_control_template_version_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_template_version().get_result(),,action_control_template_version
ibm,iam_policy_management,action_control_template_version.created_at,item.created_at,string,No,ibm.iam_policy_management.get-action-control-template-version,read_list,Yes,ibm.iam_policy_management.get-action-control-template-version,ibm.iam_policy_management.get-action-control-template-version,1,0,ibm.iam_policy_management.get-action-control-template-version[action_control_template_version_id|action_control_template_version_name|action_control_template_version_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_template_version().get_result(),,action_control_template_version
ibm,iam_policy_management,action_control_template_version.tags,item.tags,array,No,ibm.iam_policy_management.get-action-control-template-version,read_list,Yes,ibm.iam_policy_management.get-action-control-template-version,ibm.iam_policy_management.get-action-control-template-version,1,0,ibm.iam_policy_management.get-action-control-template-version[action_control_template_version_id|action_control_template_version_name|action_control_template_version_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_action_control_template_version().get_result(),,action_control_template_version
ibm,iam_policy_management,authenticator.authenticator_id,item.authenticator_id,string,Yes,ibm.iam_policy_management.get-authenticator,read_list,Yes,ibm.iam_policy_management.get-authenticator,ibm.iam_policy_management.get-authenticator,1,0,ibm.iam_policy_management.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_authenticator().get_result(),,authenticator
ibm,iam_policy_management,authenticator.authenticator_name,item.authenticator_name,string,No,ibm.iam_policy_management.get-authenticator,read_list,Yes,ibm.iam_policy_management.get-authenticator,ibm.iam_policy_management.get-authenticator,1,0,ibm.iam_policy_management.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_authenticator().get_result(),,authenticator
ibm,iam_policy_management,authenticator.authenticator_status,item.authenticator_status,string,No,ibm.iam_policy_management.get-authenticator,read_list,Yes,ibm.iam_policy_management.get-authenticator,ibm.iam_policy_management.get-authenticator,1,0,ibm.iam_policy_management.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_authenticator().get_result(),,authenticator
ibm,iam_policy_management,authenticator.created_at,item.created_at,string,No,ibm.iam_policy_management.get-authenticator,read_list,Yes,ibm.iam_policy_management.get-authenticator,ibm.iam_policy_management.get-authenticator,1,0,ibm.iam_policy_management.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.iam_policy_management.IamPolicyManagementV1().get_authenticator().get_result(),,authenticator
