Resource Type,Classification,Should Inventory,Use for Enrichment,Has ARN,Can Get from Root,Requires Dependent,Root Operations,Dependent Operations
"access_preview","EPHEMERAL","No","No","No","No","Yes","None","GetAccessPreview; GetFinding; GetFindingV2; ListAccessPreviewFindings; ListAccessPreviews; ListFindings; ListFindingsV2"
"access_preview_analyzer","EPHEMERAL","No","No","Yes","No","Yes","None","GetAccessPreview; ListAccessPreviews"
"analyzer","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","ListAnalyzers; ListAnalyzers; ListPolicyGenerations","GetAnalyzer; GetAnalyzer; GetFindingRecommendation; GetFindingV2; ListAccessPreviewFindings; ListAccessPreviews; ListAnalyzedResources; ListArchiveRules; ListFindings; ListFindingsV2"
"archive_rule_rule","CONFIGURATION","No","Yes","No","No","Yes","None","GetArchiveRule; ListArchiveRules"
"finding_existing_finding","EPHEMERAL","No","No","No","No","Yes","None","ListAccessPreviewFindings"
"policy_generation_job","EPHEMERAL","No","No","No","Yes","No","ListPolicyGenerations","GetGeneratedPolicy"
"policy_generation_principal","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","ListPolicyGenerations","None"
"resource","PRIMARY_RESOURCE","Yes","No","Yes","No","Yes","None","GetAnalyzedResource; GetFindingRecommendation; ListAnalyzedResources"
