csp,service,op_name,op_kind,is_independent,python_call,yaml_action,required_params,optional_params,param_count,output_fields,output_fields_types,compliance_categories,resource_type,target_resource_id_param,iam_action,ciem_rule_count,ciem_rule_yaml,is_active,updated_at
k8s,clusterrole,k8s.clusterrole.create,write_other,No,client.create(),create,,,0,,,,,,clusterrole:create,0,,true,2026-04-17T14:43:55Z
k8s,clusterrole,k8s.clusterrole.update,write_other,No,client.update(),update,,,0,,,,,,clusterrole:update,0,,true,2026-04-17T14:43:55Z
k8s,clusterrole,k8s.clusterrole.delete,write_other,No,client.delete(),delete,,,0,,,,,,clusterrole:delete,0,,true,2026-04-17T14:43:55Z
k8s,clusterrolebinding,k8s.clusterrolebinding.create,write_other,No,client.create(),create,,,0,,,,,,clusterrolebinding:create,0,,true,2026-04-17T14:43:55Z
k8s,clusterrolebinding,k8s.clusterrolebinding.update,write_other,No,client.update(),update,,,0,,,,,,clusterrolebinding:update,0,,true,2026-04-17T14:43:55Z
k8s,clusterrolebinding,k8s.clusterrolebinding.delete,write_other,No,client.delete(),delete,,,0,,,,,,clusterrolebinding:delete,0,,true,2026-04-17T14:43:55Z
k8s,configmap,k8s.configmap.create,write_other,No,client.create(),create,,,0,,,,,,configmap:create,0,,true,2026-04-17T14:43:55Z
k8s,configmap,k8s.configmap.update,write_other,No,client.update(),update,,,0,,,,,,configmap:update,0,,true,2026-04-17T14:43:55Z
k8s,configmap,k8s.configmap.delete,write_other,No,client.delete(),delete,,,0,,,,,,configmap:delete,0,,true,2026-04-17T14:43:55Z
k8s,daemonset,k8s.daemonset.create,write_other,No,client.create(),create,,,0,,,,,,daemonset:create,0,,true,2026-04-17T14:43:55Z
k8s,daemonset,k8s.daemonset.update,write_other,No,client.update(),update,,,0,,,,,,daemonset:update,0,,true,2026-04-17T14:43:55Z
k8s,daemonset,k8s.daemonset.delete,write_other,No,client.delete(),delete,,,0,,,,,,daemonset:delete,0,,true,2026-04-17T14:43:55Z
k8s,deployment,k8s.deployment.create,write_other,No,client.create(),create,,,0,,,,,,deployment:create,0,,true,2026-04-17T14:43:55Z
k8s,deployment,k8s.deployment.update,write_other,No,client.update(),update,,,0,,,,,,deployment:update,0,,true,2026-04-17T14:43:55Z
k8s,deployment,k8s.deployment.delete,write_other,No,client.delete(),delete,,,0,,,,,,deployment:delete,0,,true,2026-04-17T14:43:55Z
