csp,service,op_name,op_kind,is_independent,python_call,yaml_action,required_params,optional_params,param_count,output_fields,output_fields_types,compliance_categories,resource_type,target_resource_id_param,iam_action,ciem_rule_count,ciem_rule_yaml,is_active,updated_at
azure,adhybridhealthservice,azure.adhybridhealthservice.addsservices_listpremiumservices,write_other,Yes,client.addsservices_listpremiumservices(),addsServices_listPremiumServices,,,0,,,,,,adhybridhealthservice:addsServices_listPremiumServices,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.services_listpremium,write_other,Yes,client.services_listpremium(),services_listPremium,,,0,,,,,,adhybridhealthservice:services_listPremium,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.services_listallriskyipdownloadreport,write_other,Yes,client.services_listallriskyipdownloadreport(),services_listAllRiskyIpDownloadReport,,,0,,,,,,adhybridhealthservice:services_listAllRiskyIpDownloadReport,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.addsservices_getforestsummary,write_other,No,client.addsservices_getforestsummary(),addsServices_getForestSummary,id,,1,,,,,id,adhybridhealthservice:addsServices_getForestSummary,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.addsservice_getmetrics,write_other,No,client.addsservice_getmetrics(),addsService_getMetrics,id,,1,,,,,id,adhybridhealthservice:addsService_getMetrics,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.addsservices_getmetricmetadata,write_other,No,client.addsservices_getmetricmetadata(),addsServices_getMetricMetadata,id,,1,,,,,id,adhybridhealthservice:addsServices_getMetricMetadata,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.addsservices_getmetricmetadataforgroup,write_other,No,client.addsservices_getmetricmetadataforgroup(),addsServices_getMetricMetadataForGroup,id,,1,,,,,id,adhybridhealthservice:addsServices_getMetricMetadataForGroup,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.reports_getdevops,write_other,No,client.reports_getdevops(),reports_getDevOps,id,,1,,,,,id,adhybridhealthservice:reports_getDevOps,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.services_getfeatureavailibility,write_other,No,client.services_getfeatureavailibility(),services_getFeatureAvailibility,id,,1,,,,,id,adhybridhealthservice:services_getFeatureAvailibility,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.service_getmetrics,write_other,No,client.service_getmetrics(),service_getMetrics,id,,1,,,,,id,adhybridhealthservice:service_getMetrics,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.services_getmetricmetadata,write_other,No,client.services_getmetricmetadata(),services_getMetricMetadata,id,,1,,,,,id,adhybridhealthservice:services_getMetricMetadata,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.services_getmetricmetadataforgroup,write_other,No,client.services_getmetricmetadataforgroup(),services_getMetricMetadataForGroup,id,,1,,,,,id,adhybridhealthservice:services_getMetricMetadataForGroup,0,,true,2026-04-17T14:43:53Z
azure,adhybridhealthservice,azure.adhybridhealthservice.servicemembers_getmetrics,write_other,No,client.servicemembers_getmetrics(),serviceMembers_getMetrics,id,,1,,,,,id,adhybridhealthservice:serviceMembers_getMetrics,0,,true,2026-04-17T14:43:53Z
